Type,Code,Name,Credits,Parents,YearStudy
subject,PHY3393,Vật lý chất rắn ở nhiệt độ thấp,3,PHY2306;PHY3608,0
subject,PHY3446,Vật lý và kỹ thuật nhiệt độ thấp,3,PHY3608;PHY3348,0
subject,PHY3394,Nhiệt động lực học và ứng dụng,3,PHY2303;PHY2306,0
subject,PHY3448,Vật lý siêu dẫn và ứng dụng,3,PHY3608;PHY3348,0
subject,PHY3472,Mô hình chuẩn và mở rộng,3,PHY3514,0
subject,PHY3471,Vũ trụ học,3,PHY3510,0
subject,PHY3525,Mở đầu Vật lý hạt và Vật lý năng lượng cao,3,PHY2306,0
subject,PHY3461,Khoa học vật liệu đại cương,3,PHY2306,0
subject,PHY3454,Thực tập thực tế,3,;,0
optional,Môn học định hướng nghề nghiệp (Không tính tín chỉ),;,0,;,0
subject,NFC01,Vật lý các quá trình chuyển hóa năng lượng xanh,2,PHY3704,0
subject,NFC02,Năng lượng xanh và vật liệu tiên tiến,3,;,0
subject,NFC03,Kỹ năng thuyết trình,2,INM1000,0
subject,NFC04,Vật liệu mềm,3,;,0
subject,NFC05,Vật liệu y sinh,3,;,0
subject,NFC06,Máy tính lượng tử,3,;,0
subject,NFC07,Điện tử Công nghiệp,3,;,0
subject,NFC08,Lập trình LabVIEW,3,;,0
knowledge,Khóa luận tốt nghiệp hoặc Các học phần thay thế,;,;,;,0
mainDesOptional,Chọn Khóa luận tốt nghiệp hoặc Các học phần thay thế,;,;,;,0
optional,Khóa luận tốt nghiệp,;,7,;,0
subject,PHY4050,Khóa luận tốt nghiệp,7,;,0
optional,Các học phần thay thế,;,7,;,0
subject,PHY3720,Vật lý hiện đại,4,;,0
subject,PHY3455,Tin học cho Vật lý,3,;,0
