Type,Code,Name,Credits,Parents,YearStudy
subject,MAT3505,Kiến trúc máy tính,3,MAT2316/MAT2317/MAT2318/MAT2319,0
subject,MAT3517E,Mạng máy tính (**),3,MAT2316/MAT2317/MAT2318/MAT2319,0
subject,MAT3532,Tính toán song song,3,MAT3514;MAT3557,0
subject,MAT3543,Công nghệ phần mềm,3,MAT3374;MAT3552E,0
subject,MAT3541E,Nguyên lý các ngôn ngữ lập trình (**),3,MAT2316/MAT2317/MAT2318/MAT2319,0
subject,MAT3553E,Nhập môn Trí tuệ nhân tạo(**),4,MAT3372;MAT3507,0
subject,MAT3373E,Nhập môn an toàn máy tính (**),3,MAT2316/MAT2317/MAT2318/MAT2319,0
subject,MAT3555,Tiếng Anh chuyên ngành khoa học máy tính (*),2,FLF1107,0
subject,MAT3374,Thực tập thực tế phát triển phần mềm,3,INM1000;MAT3507,0
mainDesOptionalAND,Các học phần tự chọn,;,;,;,0
optional,Tự chọn về kỹ năng phần mềm,;,4,;,0
subject,MAT3376,Lập trình nâng cao,2,MAT2316/MAT2317/MAT2318/MAT2319,0
subject,MAT3558,Lập trình mobile (*),2,MAT3551E;MAT3507;MAT3372,0
subject,MAT3559,Xây dựng hệ thống nhúng (*),2,MAT3372;MAT3505,0
subject,MAT3560,Phát triển phần mềm trò chơi (*),2,MAT3376,0
optional,Chọn 2 trong 3 học phần về Trí tuệ nhân tạo sau,;,6,;,0
subject,MAT3533,Học máy,3,MAT3551E;MAT2323;MAT2034,0
subject,MAT3554E,Ngôn ngữ hình thức và ôtômat (**),3,MAT3500;MAT2316/MAT2317/MAT2318/MAT2319,0
subject,MAT3562E,Thị giác máy tính(**),3,MAT2502;MAT2316/MAT2317/MAT2318/MAT2319,0
optional,Chọn 3 trong 7 học phần về Trí tuệ nhân tạo và Phát triển phần mềm sau,;,9,;,0
subject,MAT3542,Phát triển ứng dụng web,3,MAT3374,0
subject,MAT3563,Một số vấn đề chọn lọc về thị giác máy tính(*),3,MAT3562E,0
subject,MAT3566,Xử lý ảnh 3D (*),3,MAT3533;MAT3562E;MAT3376,0
subject,MAT3564,Nhập môn tương tác người máy (*),3,MAT2316/MAT2317/MAT2318/MAT2319,0
subject,MAT3565,Nhập môn khai phá các tập dữ liệu lớn (*),3,MAT3551E;MAT2323;MAT3507,0
subject,MAT3561E,Xử lý ngôn ngữ tự nhiên và ứng dung (**),3,MAT3374;MAT2323,0
subject,MAT3539,Mật mã và an toàn dữ liệu,3,MAT2316/MAT2317/MAT2318/MAT2319,0
knowledge,Khối kiến thức thực tập và tốt nghiệp,;,;,;,0
mainDesOptional,Chọn Khóa luận tốt nghiệp hoặc Các học phần thay thế,;,;,;,0
optional,Khóa luận tốt nghiệp,;,9,;,0
subject,MAT4081,Khóa luận tốt nghiệp,9,;,0
optional,Các học phần thay thế,;,9,;,0
subject,MAT3567,Phân tích và thiết kế hệ thống thông tin,3,MAT3374;MAT3552E,0
subject,MAT3535,Tìm kiếm thông tin,3,MAT3551E;MAT2323,0
subject,MAT3377,Một số vấn đề chọn lọc về Trí tuệ nhân tạo,3,MAT3553E,0
