Type,Code,Name,Credits,Parents
subject,MAT3408,Cơ học chất lỏng,3,MAT2306;MAT3423
subject,MAT3411,Phương pháp phần tử hữ hạn,3,MAT3396
subject,MAT3412,Lý thuyết dẻo,3,MAT3407
subject,MAT3413,Cơ học giải tích,3,MAT3361
subject,MAT3415,Cơ học vật liệu composite,3,MAT3423
subject,MAT3416,Cơ học kết cấu,3,MAT3396
subject,MAT3417,Lý thuyết ổn định chuyển động,3,MAT3361
subject,MAT3418,Phương pháp số trong cơ học,3,MAT2307;MAT2316/MAT2317/MAT2318/MAT2319
subject,MAT3419,Động lực học chất lỏng nhiều pha,3,MAT3408
subject,MAT3420,Lý thuyết chảy rối,3,MAT3408
knowledge,Khóa luận tốt nghiệp và các học phần thay thế,;,;,;
optional,Khóa luận tốt nghiệp,;,7,;
subject,MAT4070,Khóa luận tốt nghiệp,7,;
optional,Các học phần thay thế khóa luận tốt nghiệp cho sinh viên chọn định hướng Toán lý thuyết và Toán ứng dụng,;,7,;
subject,MAT4071,Một số vấn đề chọn lọc trong Toán học,3,;
subject,MAT4072,Một số vấn đề chọn lọc trong tính toán khoa học,4,MAT2307;MAT2407
optional,Các học phần thay thế khóa luận tốt nghiệp cho sinh viên chọn định hướng Cơ học,;,7,;
subject,MAT3362,Một số vấn đề chọn lọc trong Cơ học,3,MAT3407
subject,MAT3422,Lý thuyết bản và vỏ mỏng,4,MAT3407
